City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
Nacajuca,MX,18.1333,-93.0167,86.0,58,8.05,75
Tura,IN,25.5198,90.2201,66.38,73,5.84,45
Hermanus,ZA,-34.4187,19.2345,68.0,81,1.99,0
Yellowknife,CA,62.456,-114.3525,12.2,79,13.8,90
Caravelas,BR,-17.7125,-39.2481,80.8,69,9.89,1
San Patricio,US,28.017,-97.5169,82.27,39,6.91,40
Narsaq,GL,60.9167,-46.05,37.4,75,4.72,75
Constitución,CL,-35.3333,-72.4167,65.66,71,6.93,25
Punta Arenas,CL,-53.15,-70.9167,62.31,45,12.66,0
Vaini,TO,-21.2,-175.2,78.8,94,4.61,75
Rikitea,PF,-23.1203,-134.9692,80.31,78,8.46,65
Awjilah,LY,29.1081,21.2869,63.21,27,12.37,0
Harper,LR,4.375,-7.7169,79.38,87,7.67,52
Jamestown,US,42.097,-79.2353,27.41,92,19.77,90
Saskylakh,RU,71.9167,114.0833,-29.81,83,8.14,0
Lanzhou,CN,36.0564,103.7922,39.99,47,2.35,78
Norman Wells,CA,65.282,-126.8329,1.4,71,9.22,40
Howard Springs,AU,-12.497,131.047,80.74,83,11.5,40
Russell,US,32.3502,-85.1999,68.18,21,11.5,20
Carauari,BR,-4.8828,-66.8958,84.78,64,3.76,58
Benton Harbor,US,42.1167,-86.4542,37.11,65,13.8,1
San Quintín,MX,30.4833,-115.95,66.51,47,10.49,0
Lavrentiya,RU,65.5833,-171.0,3.07,92,5.95,95
Pevek,RU,69.7008,170.3133,-12.68,87,3.85,100
Willowmore,ZA,-33.2926,23.4895,63.03,70,18.66,0
Kavieng,PG,-2.5744,150.7967,82.54,78,8.52,63
Salalah,OM,17.0151,54.0924,78.8,41,1.14,0
Saint-Augustin,CA,51.226,-58.6502,25.5,94,12.48,96
Synya,RU,65.3718,58.0387,-1.86,93,2.73,100
Dubrovnik,HR,42.6481,18.0922,50.0,93,9.22,40
Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,11.5,75
Tiksi,RU,71.6872,128.8694,-23.76,87,5.06,86
Cape Town,ZA,-33.9258,18.4232,66.94,82,13.8,0
Dolinsk,RU,47.35,142.8,14.0,67,13.42,40
Choix,MX,26.7092,-108.3219,91.76,11,7.11,0
Half Moon Bay,US,37.4636,-122.4286,59.88,62,3.44,40
Tabou,CI,4.423,-7.3528,79.12,88,7.72,48
Esperance,AU,-33.8667,121.9,66.2,100,10.36,90
Vila Velha,BR,-20.3297,-40.2925,85.62,62,18.41,0
Kapaa,US,22.0752,-159.319,69.91,83,21.85,75
Simpang,ID,-1.2667,104.0833,74.75,98,1.39,51
Atuona,PF,-9.8,-139.0333,79.32,73,15.05,46
Margate,GB,51.3813,1.3862,40.28,60,3.0,0
Bluff,NZ,-46.6,168.3333,50.0,81,5.99,67
Arraial do Cabo,BR,-22.9661,-42.0278,89.87,58,13.8,20
Castro,BR,-24.7911,-50.0119,68.67,87,9.69,100
Broken Hill,AU,-31.95,141.4333,60.8,39,5.75,0
Upernavik,GL,72.7868,-56.1549,-14.78,83,17.76,43
Chui,UY,-33.6971,-53.4616,71.89,72,15.43,35
Isangel,VU,-19.55,169.2667,78.8,94,5.75,90
Ushuaia,AR,-54.8,-68.3,60.8,44,5.75,0
Xingtai,CN,37.0631,114.4942,33.57,80,13.33,100
Dzaoudzi,YT,-12.7887,45.2699,84.2,79,17.27,75
Touros,BR,-5.1989,-35.4608,84.2,70,11.5,20
Plastun,RU,44.7561,136.2939,2.08,77,9.55,0
Busselton,AU,-33.65,115.3333,64.62,98,4.85,12
Vardø,NO,70.3705,31.1107,14.0,79,13.8,20
Qaanaaq,GL,77.484,-69.3632,-20.92,63,4.54,0
Sokolo,ML,14.7328,-6.1219,88.47,14,9.6,61
Ixtapa,MX,20.7,-105.2,77.0,69,14.97,1
Bertoua,CM,4.5833,13.6833,76.14,26,2.3,0
Torbay,CA,47.6666,-52.7314,36.41,69,16.11,75
Eyrarbakki,IS,63.863,-21.1481,42.44,76,10.36,75
Saint-Joseph,RE,-21.3667,55.6167,75.2,78,6.91,90
Mataura,NZ,-46.1927,168.8643,48.0,84,5.99,9
Cidreira,BR,-30.1811,-50.2056,76.41,82,13.4,89
Ilulissat,GL,69.2167,-51.1,21.2,86,9.22,40
Marfino,RU,55.7028,37.3822,19.9,79,6.71,0
East London,ZA,-33.0153,27.9116,71.91,67,8.3,80
Avarua,CK,-21.2078,-159.775,82.4,78,5.75,90
Sabla,NG,12.7525,4.7077,87.04,13,10.36,98
Lloret de Mar,ES,41.6999,2.8457,54.23,78,4.41,79
Giohar,SO,2.7809,45.5005,74.23,76,16.71,31
Hasaki,JP,35.7333,140.8333,48.99,100,2.3,75
Evensk,RU,61.95,159.2333,-25.13,72,6.38,1
Kaitangata,NZ,-46.2817,169.8464,53.01,90,6.55,87
Makkah al Mukarramah,SA,21.4267,39.8261,74.93,43,5.7,0
Brae,GB,60.3964,-1.353,41.0,75,23.02,90
Port Alfred,ZA,-33.5906,26.891,66.99,89,4.0,22
Klæbu,NO,63.2976,10.4826,33.66,87,16.11,75
Pisco,PE,-13.7,-76.2167,78.04,78,11.5,0
Vilyuysk,RU,63.7553,121.6247,-27.44,86,2.59,1
